"subject","trial_num","feedback","latent_agent","latent_prob","mine_prob_win_left","mine_prob_win_right","latent_guess","block_num","condition","subj_choice","lr"
"587",1,1,0,0.3,0.3,0.7,1,1,2,2,0.33799
"587",2,1,1,0.3,0.3,0.7,1,1,2,2,0.27513
"587",3,1,0,0.3,0.3,0.7,0,1,2,2,0.22281
"587",4,1,0,0.3,0.3,0.7,0,1,2,2,0.18513
"587",5,1,1,0.3,0.3,0.7,0,1,2,2,0.15767
"587",6,1,0,0.3,0.3,0.7,0,1,2,2,0.13702
"587",7,0,0,0.3,0.3,0.7,0,1,2,2,0.15363
"587",8,1,1,0.3,0.3,0.7,0,1,2,2,0.10102
"587",9,1,1,0.3,0.3,0.7,0,1,2,2,0.092465
"587",10,1,1,0.3,0.3,0.7,0,1,2,2,0.085155
"587",11,1,1,0.3,0.3,0.7,0,1,2,2,0.078856
"587",12,1,0,0.3,0.3,0.7,0,1,2,2,0.073384
"587",13,1,0,0.3,0.3,0.7,0,1,2,2,0.068594
"587",14,1,1,0.3,0.3,0.7,0,1,2,2,0.064372
"587",15,1,1,0.3,0.3,0.7,0,1,2,2,0.060624
"587",16,1,0,0.3,0.3,0.7,0,1,2,2,0.057278
"587",17,1,1,0.3,0.3,0.7,0,1,2,2,0.054273
"587",18,1,0,0.3,0.3,0.7,0,1,2,2,0.051562
"587",19,1,0,0.3,0.3,0.7,0,1,2,2,0.049103
"587",20,1,0,0.3,0.3,0.7,0,1,2,2,0.046864
"587",21,1,0,0.3,0.3,0.7,0,1,2,2,0.044817
"587",22,1,1,0.3,0.3,0.7,0,1,2,2,0.042939
"587",23,1,1,0.3,0.3,0.7,0,1,2,2,0.041209
"587",24,1,0,0.3,0.3,0.7,0,1,2,2,0.039612
"587",25,0,0,0.3,0.3,0.7,0,1,2,2,0.0481
"587",26,0,0,0.3,0.3,0.7,0,1,2,2,0.045893
"587",27,0,0,0.3,0.3,0.7,0,1,2,2,0.043879
"587",28,1,0,0.3,0.3,0.7,1,1,2,1,0.33799
"587",29,0,0,0.3,0.3,0.7,0,1,2,1,0.3737
"587",30,1,0,0.3,0.3,0.7,0,1,2,2,0.032309
"587",31,1,0,0.3,0.3,0.7,0,1,2,2,0.031357
